datetime,temperature,humidity,city
2020-01-01 00:00:00,15.5,72.0,Ahmedabad
2020-01-01 01:00:00,15.6,74.0,Ahmedabad
2020-01-01 02:00:00,15.9,71.0,Ahmedabad
2020-01-01 03:00:00,16.4,69.0,Ahmedabad
2020-01-01 04:00:00,16.6,68.0,Ahmedabad
2020-01-01 05:00:00,15.8,71.0,Ahmedabad
2020-01-01 06:00:00,15.6,73.0,Ahmedabad
2020-01-01 07:00:00,15.6,74.0,Ahmedabad
2020-01-01 08:00:00,17.0,70.0,Ahmedabad
2020-01-01 09:00:00,18.7,64.0,Ahmedabad
2020-01-01 10:00:00,20.9,60.0,Ahmedabad
2020-01-01 11:00:00,22.6,56.0,Ahmedabad
2020-01-01 12:00:00,24.0,54.0,Ahmedabad
2020-01-01 13:00:00,25.0,53.0,Ahmedabad
2020-01-01 14:00:00,25.5,52.0,Ahmedabad
2020-01-01 15:00:00,25.5,50.0,Ahmedabad
2020-01-01 16:00:00,25.3,49.0,Ahmedabad
2020-01-01 17:00:00,23.5,59.0,Ahmedabad
2020-01-01 18:00:00,21.5,65.0,Ahmedabad
2020-01-01 19:00:00,21.5,63.0,Ahmedabad
2020-01-01 20:00:00,20.6,66.0,Ahmedabad
2020-01-01 21:00:00,19.8,70.0,Ahmedabad
2020-01-01 22:00:00,18.5,76.0,Ahmedabad
2020-01-01 23:00:00,17.9,79.0,Ahmedabad
2020-01-02 00:00:00,17.5,79.0,Ahmedabad
2020-01-02 01:00:00,17.2,78.0,Ahmedabad
2020-01-02 02:00:00,17.5,74.0,Ahmedabad
2020-01-02 03:00:00,17.5,74.0,Ahmedabad
2020-01-02 04:00:00,17.0,75.0,Ahmedabad
2020-01-02 05:00:00,15.9,80.0,Ahmedabad
2020-01-02 06:00:00,15.4,82.0,Ahmedabad
2020-01-02 07:00:00,15.2,83.0,Ahmedabad
2020-01-02 08:00:00,16.8,76.0,Ahmedabad
2020-01-02 09:00:00,19.0,68.0,Ahmedabad
2020-01-02 10:00:00,21.0,64.0,Ahmedabad
2020-01-02 11:00:00,22.8,61.0,Ahmedabad
2020-01-02 12:00:00,24.0,58.0,Ahmedabad
2020-01-02 13:00:00,24.9,54.0,Ahmedabad
2020-01-02 14:00:00,25.5,48.0,Ahmedabad
2020-01-02 15:00:00,25.5,45.0,Ahmedabad
2020-01-02 16:00:00,25.2,45.0,Ahmedabad
2020-01-02 17:00:00,23.5,54.0,Ahmedabad
2020-01-02 18:00:00,21.8,58.0,Ahmedabad
2020-01-02 19:00:00,21.0,56.0,Ahmedabad
2020-01-02 20:00:00,20.2,57.0,Ahmedabad
2020-01-02 21:00:00,18.8,67.0,Ahmedabad
2020-01-02 22:00:00,17.9,74.0,Ahmedabad
2020-01-02 23:00:00,17.0,78.0,Ahmedabad
2020-01-03 00:00:00,16.5,79.0,Ahmedabad
2020-01-03 01:00:00,15.9,81.0,Ahmedabad
2020-01-03 02:00:00,15.4,83.0,Ahmedabad
2020-01-03 03:00:00,14.9,84.0,Ahmedabad
2020-01-03 04:00:00,14.1,87.0,Ahmedabad
2020-01-03 05:00:00,13.6,90.0,Ahmedabad
2020-01-03 06:00:00,13.3,90.0,Ahmedabad
2020-01-03 07:00:00,13.1,91.0,Ahmedabad
2020-01-03 08:00:00,15.1,82.0,Ahmedabad
2020-01-03 09:00:00,17.5,72.0,Ahmedabad
2020-01-03 10:00:00,19.8,64.0,Ahmedabad
2020-01-03 11:00:00,21.8,57.0,Ahmedabad
2020-01-03 12:00:00,23.2,48.0,Ahmedabad
2020-01-03 13:00:00,24.0,44.0,Ahmedabad
2020-01-03 14:00:00,24.4,42.0,Ahmedabad
2020-01-03 15:00:00,24.5,41.0,Ahmedabad
2020-01-03 16:00:00,24.2,41.0,Ahmedabad
2020-01-03 17:00:00,21.8,53.0,Ahmedabad
2020-01-03 18:00:00,19.1,61.0,Ahmedabad
2020-01-03 19:00:00,17.9,66.0,Ahmedabad
2020-01-03 20:00:00,17.3,68.0,Ahmedabad
2020-01-03 21:00:00,17.0,70.0,Ahmedabad
2020-01-03 22:00:00,16.5,71.0,Ahmedabad
2020-01-03 23:00:00,15.9,73.0,Ahmedabad
2020-01-04 00:00:00,15.6,74.0,Ahmedabad
2020-01-04 01:00:00,15.2,76.0,Ahmedabad
2020-01-04 02:00:00,14.5,79.0,Ahmedabad
2020-01-04 03:00:00,13.8,81.0,Ahmedabad
2020-01-04 04:00:00,13.3,82.0,Ahmedabad
2020-01-04 05:00:00,12.9,86.0,Ahmedabad
2020-01-04 06:00:00,12.9,84.0,Ahmedabad
2020-01-04 07:00:00,12.9,84.0,Ahmedabad
2020-01-04 08:00:00,15.0,75.0,Ahmedabad
2020-01-04 09:00:00,17.6,65.0,Ahmedabad
2020-01-04 10:00:00,20.0,58.0,Ahmedabad
2020-01-04 11:00:00,22.1,53.0,Ahmedabad
2020-01-04 12:00:00,23.6,46.0,Ahmedabad
2020-01-04 13:00:00,24.5,40.0,Ahmedabad
2020-01-04 14:00:00,24.9,37.0,Ahmedabad
2020-01-04 15:00:00,24.9,36.0,Ahmedabad
2020-01-04 16:00:00,24.5,36.0,Ahmedabad
2020-01-04 17:00:00,22.4,45.0,Ahmedabad
2020-01-04 18:00:00,19.4,54.0,Ahmedabad
2020-01-04 19:00:00,18.5,56.0,Ahmedabad
2020-01-04 20:00:00,17.7,58.0,Ahmedabad
2020-01-04 21:00:00,16.9,63.0,Ahmedabad
2020-01-04 22:00:00,16.6,65.0,Ahmedabad
2020-01-04 23:00:00,16.0,67.0,Ahmedabad
2020-01-05 00:00:00,15.4,68.0,Ahmedabad
2020-01-05 01:00:00,14.9,68.0,Ahmedabad
