datetime,temperature,humidity,city
2020-03-11 00:00:00,9.1,81.0,Aizawl
2020-03-11 01:00:00,8.8,77.0,Aizawl
2020-03-11 02:00:00,8.2,78.0,Aizawl
2020-03-11 03:00:00,7.8,77.0,Aizawl
2020-03-11 04:00:00,7.4,78.0,Aizawl
2020-03-11 05:00:00,6.5,83.0,Aizawl
2020-03-11 06:00:00,8.9,73.0,Aizawl
2020-03-11 07:00:00,13.5,60.0,Aizawl
2020-03-11 08:00:00,18.2,45.0,Aizawl
2020-03-11 09:00:00,21.0,32.0,Aizawl
2020-03-11 10:00:00,23.1,26.0,Aizawl
2020-03-11 11:00:00,24.7,23.0,Aizawl
2020-03-11 12:00:00,25.8,22.0,Aizawl
2020-03-11 13:00:00,26.1,22.0,Aizawl
2020-03-11 14:00:00,25.7,25.0,Aizawl
2020-03-11 15:00:00,24.7,30.0,Aizawl
2020-03-11 16:00:00,22.4,40.0,Aizawl
2020-03-11 17:00:00,18.9,54.0,Aizawl
2020-03-11 18:00:00,17.0,65.0,Aizawl
2020-03-11 19:00:00,16.3,64.0,Aizawl
2020-03-11 20:00:00,17.2,52.0,Aizawl
2020-03-11 21:00:00,14.9,65.0,Aizawl
2020-03-11 22:00:00,12.7,78.0,Aizawl
2020-03-11 23:00:00,11.9,79.0,Aizawl
2020-03-12 00:00:00,11.2,81.0,Aizawl
2020-03-12 01:00:00,10.8,80.0,Aizawl
2020-03-12 02:00:00,10.4,81.0,Aizawl
2020-03-12 03:00:00,10.2,81.0,Aizawl
2020-03-12 04:00:00,10.0,81.0,Aizawl
2020-03-12 05:00:00,9.1,88.0,Aizawl
2020-03-12 06:00:00,11.3,77.0,Aizawl
2020-03-12 07:00:00,16.0,59.0,Aizawl
2020-03-12 08:00:00,20.5,45.0,Aizawl
2020-03-12 09:00:00,23.0,38.0,Aizawl
2020-03-12 10:00:00,24.7,35.0,Aizawl
2020-03-12 11:00:00,26.1,33.0,Aizawl
2020-03-12 12:00:00,26.9,32.0,Aizawl
2020-03-12 13:00:00,27.3,31.0,Aizawl
2020-03-12 14:00:00,27.2,31.0,Aizawl
2020-03-12 15:00:00,26.6,32.0,Aizawl
2020-03-12 16:00:00,24.2,48.0,Aizawl
2020-03-12 17:00:00,22.0,47.0,Aizawl
2020-03-12 18:00:00,19.4,60.0,Aizawl
2020-03-12 19:00:00,17.9,67.0,Aizawl
2020-03-12 20:00:00,16.5,75.0,Aizawl
2020-03-12 21:00:00,17.9,61.0,Aizawl
2020-03-12 22:00:00,15.6,74.0,Aizawl
2020-03-12 23:00:00,15.3,73.0,Aizawl
2020-03-13 00:00:00,14.0,79.0,Aizawl
2020-03-13 01:00:00,12.5,88.0,Aizawl
2020-03-13 02:00:00,11.8,90.0,Aizawl
2020-03-13 03:00:00,11.6,90.0,Aizawl
2020-03-13 04:00:00,11.4,89.0,Aizawl
2020-03-13 05:00:00,10.2,94.0,Aizawl
2020-03-13 06:00:00,12.1,86.0,Aizawl
2020-03-13 07:00:00,17.1,66.0,Aizawl
2020-03-13 08:00:00,21.4,52.0,Aizawl
2020-03-13 09:00:00,24.2,43.0,Aizawl
2020-03-13 10:00:00,26.1,36.0,Aizawl
2020-03-13 11:00:00,27.4,32.0,Aizawl
2020-03-13 12:00:00,28.2,30.0,Aizawl
2020-03-13 13:00:00,28.4,30.0,Aizawl
2020-03-13 14:00:00,27.9,30.0,Aizawl
2020-03-13 15:00:00,27.0,32.0,Aizawl
2020-03-13 16:00:00,24.7,42.0,Aizawl
2020-03-13 17:00:00,19.6,64.0,Aizawl
2020-03-13 18:00:00,19.6,59.0,Aizawl
2020-03-13 19:00:00,17.8,67.0,Aizawl
2020-03-13 20:00:00,16.4,74.0,Aizawl
2020-03-13 21:00:00,17.4,63.0,Aizawl
2020-03-13 22:00:00,15.2,74.0,Aizawl
