datetime,temperature,humidity,city
2017-02-27 00:00:00,15.9,55.0,Amritsar
2017-02-27 01:00:00,12.6,68.0,Amritsar
2017-02-27 02:00:00,11.9,69.0,Amritsar
2017-02-27 03:00:00,12.7,65.0,Amritsar
2017-02-27 04:00:00,12.4,67.0,Amritsar
2017-02-27 05:00:00,11.6,76.0,Amritsar
2017-02-27 06:00:00,11.6,76.0,Amritsar
2017-02-27 07:00:00,9.4,88.0,Amritsar
2017-02-27 08:00:00,13.4,76.0,Amritsar
2017-02-27 09:00:00,17.0,67.0,Amritsar
2017-02-27 10:00:00,20.0,59.0,Amritsar
2017-02-27 11:00:00,22.3,52.0,Amritsar
2017-02-27 12:00:00,23.8,44.0,Amritsar
2017-02-27 13:00:00,24.5,37.0,Amritsar
2017-02-27 14:00:00,24.8,32.0,Amritsar
2017-02-27 15:00:00,24.8,32.0,Amritsar
2017-02-27 16:00:00,24.5,32.0,Amritsar
2017-02-27 17:00:00,22.4,66.0,Amritsar
2017-02-27 18:00:00,22.2,42.0,Amritsar
2017-02-27 19:00:00,20.9,44.0,Amritsar
2017-02-27 20:00:00,16.6,62.0,Amritsar
2017-02-27 21:00:00,13.7,78.0,Amritsar
2017-02-27 22:00:00,14.4,72.0,Amritsar
2017-02-27 23:00:00,13.6,72.0,Amritsar
2017-02-28 00:00:00,12.4,75.0,Amritsar
2017-02-28 01:00:00,12.4,74.0,Amritsar
2017-02-28 02:00:00,11.6,79.0,Amritsar
2017-02-28 03:00:00,12.5,77.0,Amritsar
2017-02-28 04:00:00,13.6,74.0,Amritsar
2017-02-28 05:00:00,16.4,56.0,Amritsar
2017-02-28 06:00:00,14.6,63.0,Amritsar
2017-02-28 07:00:00,15.1,64.0,Amritsar
2017-02-28 08:00:00,16.1,71.0,Amritsar
2017-02-28 09:00:00,18.1,68.0,Amritsar
2017-02-28 10:00:00,20.3,60.0,Amritsar
2017-02-28 11:00:00,21.6,55.0,Amritsar
2017-02-28 12:00:00,21.8,55.0,Amritsar
2017-02-28 13:00:00,22.5,42.0,Amritsar
2017-02-28 14:00:00,21.7,46.0,Amritsar
2017-02-28 15:00:00,21.3,52.0,Amritsar
2017-02-28 16:00:00,21.0,56.0,Amritsar
2017-02-28 17:00:00,21.7,66.0,Amritsar
2017-02-28 18:00:00,18.1,79.0,Amritsar
2017-02-28 19:00:00,16.1,88.0,Amritsar
2017-02-28 20:00:00,15.1,90.0,Amritsar
2017-02-28 21:00:00,13.5,93.0,Amritsar
2017-02-28 22:00:00,13.6,91.0,Amritsar
2017-02-28 23:00:00,12.0,95.0,Amritsar
2017-03-01 00:00:00,12.9,92.0,Amritsar
2017-03-01 01:00:00,12.5,91.0,Amritsar
