datetime,temperature,humidity,city
2019-09-02 00:00:00,25.3,96.0,Chandigarh
2019-09-02 01:00:00,25.4,94.0,Chandigarh
2019-09-02 02:00:00,25.4,93.0,Chandigarh
2019-09-02 03:00:00,25.0,95.0,Chandigarh
2019-09-02 04:00:00,25.0,95.0,Chandigarh
2019-09-02 05:00:00,25.4,95.0,Chandigarh
2019-09-02 06:00:00,25.8,93.0,Chandigarh
2019-09-02 07:00:00,26.8,86.0,Chandigarh
2019-09-02 08:00:00,28.1,80.0,Chandigarh
2019-09-02 09:00:00,29.1,76.0,Chandigarh
2019-09-02 10:00:00,30.1,73.0,Chandigarh
2019-09-02 11:00:00,30.9,70.0,Chandigarh
2019-09-02 12:00:00,31.5,70.0,Chandigarh
2019-09-02 13:00:00,31.9,69.0,Chandigarh
2019-09-02 14:00:00,32.0,69.0,Chandigarh
2019-09-02 15:00:00,31.5,71.0,Chandigarh
2019-09-02 16:00:00,31.4,71.0,Chandigarh
2019-09-02 17:00:00,31.1,73.0,Chandigarh
2019-09-02 18:00:00,29.8,79.0,Chandigarh
2019-09-02 19:00:00,28.8,83.0,Chandigarh
2019-09-02 20:00:00,28.1,87.0,Chandigarh
2019-09-02 21:00:00,27.2,91.0,Chandigarh
2019-09-02 22:00:00,26.9,92.0,Chandigarh
2019-09-02 23:00:00,26.9,90.0,Chandigarh
2019-09-03 00:00:00,26.3,91.0,Chandigarh
2019-09-03 01:00:00,26.0,91.0,Chandigarh
2019-09-03 02:00:00,25.9,90.0,Chandigarh
2019-09-03 03:00:00,25.5,91.0,Chandigarh
2019-09-03 04:00:00,25.5,90.0,Chandigarh
2019-09-03 05:00:00,25.8,88.0,Chandigarh
2019-09-03 06:00:00,26.4,88.0,Chandigarh
2019-09-03 07:00:00,27.9,84.0,Chandigarh
2019-09-03 08:00:00,29.2,79.0,Chandigarh
2019-09-03 09:00:00,30.1,78.0,Chandigarh
2019-09-03 10:00:00,30.8,76.0,Chandigarh
2019-09-03 11:00:00,31.2,76.0,Chandigarh
2019-09-03 12:00:00,32.0,73.0,Chandigarh
2019-09-03 13:00:00,32.2,70.0,Chandigarh
2019-09-03 14:00:00,32.4,69.0,Chandigarh
2019-09-03 15:00:00,32.3,67.0,Chandigarh
2019-09-03 16:00:00,32.2,67.0,Chandigarh
2019-09-03 17:00:00,31.1,73.0,Chandigarh
2019-09-03 18:00:00,29.6,80.0,Chandigarh
2019-09-03 19:00:00,28.5,86.0,Chandigarh
2019-09-03 20:00:00,27.8,89.0,Chandigarh
2019-09-03 21:00:00,27.4,91.0,Chandigarh
2019-09-03 22:00:00,27.0,91.0,Chandigarh
2019-09-03 23:00:00,27.1,88.0,Chandigarh
2019-09-04 00:00:00,27.2,85.0,Chandigarh
2019-09-04 01:00:00,26.7,88.0,Chandigarh
2019-09-04 02:00:00,26.4,87.0,Chandigarh
2019-09-04 03:00:00,25.6,92.0,Chandigarh
2019-09-04 04:00:00,25.4,91.0,Chandigarh
2019-09-04 05:00:00,26.5,88.0,Chandigarh
2019-09-04 06:00:00,26.6,87.0,Chandigarh
2019-09-04 07:00:00,26.5,89.0,Chandigarh
2019-09-04 08:00:00,26.6,89.0,Chandigarh
2019-09-04 09:00:00,28.1,82.0,Chandigarh
2019-09-04 10:00:00,29.1,78.0,Chandigarh
2019-09-04 11:00:00,29.5,79.0,Chandigarh
2019-09-04 12:00:00,30.0,79.0,Chandigarh
2019-09-04 13:00:00,30.6,78.0,Chandigarh
2019-09-04 14:00:00,30.8,78.0,Chandigarh
2019-09-04 15:00:00,31.3,73.0,Chandigarh
2019-09-04 16:00:00,31.1,73.0,Chandigarh
2019-09-04 17:00:00,28.3,87.0,Chandigarh
2019-09-04 18:00:00,27.7,89.0,Chandigarh
2019-09-04 19:00:00,27.3,93.0,Chandigarh
2019-09-04 20:00:00,27.2,92.0,Chandigarh
2019-09-04 21:00:00,27.0,90.0,Chandigarh
2019-09-04 22:00:00,27.1,86.0,Chandigarh
2019-09-04 23:00:00,27.0,85.0,Chandigarh
2019-09-05 00:00:00,26.2,89.0,Chandigarh
2019-09-05 01:00:00,25.4,94.0,Chandigarh
2019-09-05 02:00:00,25.0,94.0,Chandigarh
2019-09-05 03:00:00,24.2,96.0,Chandigarh
2019-09-05 04:00:00,24.1,96.0,Chandigarh
2019-09-05 05:00:00,24.9,91.0,Chandigarh
2019-09-05 06:00:00,25.1,90.0,Chandigarh
2019-09-05 07:00:00,26.5,87.0,Chandigarh
2019-09-05 08:00:00,27.4,85.0,Chandigarh
2019-09-05 09:00:00,28.0,83.0,Chandigarh
