datetime,temperature,humidity,city
2020-01-01 00:00:00,10.6,92.0,Patna
2020-01-01 01:00:00,10.6,94.0,Patna
2020-01-01 02:00:00,10.2,96.0,Patna
2020-01-01 03:00:00,11.1,94.0,Patna
2020-01-01 04:00:00,10.1,96.0,Patna
2020-01-01 05:00:00,10.9,95.0,Patna
2020-01-01 06:00:00,10.8,96.0,Patna
2020-01-01 07:00:00,11.4,96.0,Patna
2020-01-01 08:00:00,13.2,89.0,Patna
2020-01-01 09:00:00,15.1,85.0,Patna
2020-01-01 10:00:00,17.4,78.0,Patna
2020-01-01 11:00:00,18.9,71.0,Patna
2020-01-01 12:00:00,19.9,66.0,Patna
2020-01-01 13:00:00,20.4,64.0,Patna
2020-01-01 14:00:00,20.6,63.0,Patna
2020-01-01 15:00:00,20.4,64.0,Patna
2020-01-01 16:00:00,18.4,79.0,Patna
2020-01-01 17:00:00,18.8,72.0,Patna
2020-01-01 18:00:00,17.1,79.0,Patna
2020-01-01 19:00:00,14.9,88.0,Patna
2020-01-01 20:00:00,14.6,90.0,Patna
2020-01-01 21:00:00,16.0,85.0,Patna
2020-01-01 22:00:00,15.9,86.0,Patna
2020-01-01 23:00:00,15.5,88.0,Patna
2020-01-02 00:00:00,15.1,90.0,Patna
2020-01-02 01:00:00,14.6,93.0,Patna
2020-01-02 02:00:00,14.6,93.0,Patna
2020-01-02 03:00:00,13.6,95.0,Patna
2020-01-02 04:00:00,13.4,97.0,Patna
2020-01-02 05:00:00,13.9,95.0,Patna
2020-01-02 06:00:00,13.9,95.0,Patna
2020-01-02 07:00:00,13.8,97.0,Patna
2020-01-02 08:00:00,15.4,93.0,Patna
2020-01-02 09:00:00,17.1,86.0,Patna
2020-01-02 10:00:00,18.5,79.0,Patna
2020-01-02 11:00:00,19.7,72.0,Patna
2020-01-02 12:00:00,20.5,67.0,Patna
2020-01-02 13:00:00,21.0,65.0,Patna
2020-01-02 14:00:00,21.1,65.0,Patna
2020-01-02 15:00:00,20.9,66.0,Patna
2020-01-02 16:00:00,19.4,77.0,Patna
2020-01-02 17:00:00,17.8,85.0,Patna
2020-01-02 18:00:00,17.5,86.0,Patna
2020-01-02 19:00:00,16.5,91.0,Patna
2020-01-02 20:00:00,15.9,93.0,Patna
2020-01-02 21:00:00,15.3,93.0,Patna
2020-01-02 22:00:00,14.6,93.0,Patna
2020-01-02 23:00:00,14.4,94.0,Patna
2020-01-03 00:00:00,14.7,94.0,Patna
2020-01-03 01:00:00,13.5,96.0,Patna
